monthly,country_name,Approval_Smoothed,Approval_Not_Smoothed,app_marginals_obs,Disapproval_Smoothed,Disapproval_Not_Smoothed,neg_marginals_obs,Country,ccodecow,wb_code
2008m6,United Kingdom,22.653749,22.64571,5,68.530678,68.576057,4,United Kingdom,200,GBR
1977m7,United Kingdom,31.42239,31.316401,3,53.994339,54.071941,3,United Kingdom,200,GBR
1949m2,United Kingdom,39.196621,39.29335,0,,,,United Kingdom,200,GBR
1959m4,United Kingdom,44.028351,44.233238,2,,,,United Kingdom,200,GBR
1950m2,United Kingdom,38.194401,38.242599,0,,,,United Kingdom,200,GBR
2000m1,United Kingdom,43.32,43.032051,4,44.402851,44.731499,4,United Kingdom,200,GBR
1941m6,United Kingdom,57.966888,57.892422,1,,,,United Kingdom,200,GBR
1958m11,United Kingdom,42.969311,43.14547,2,,,,United Kingdom,200,GBR
2010m11,United Kingdom,40.21442,39.639111,4,48.281029,49.243801,4,United Kingdom,200,GBR
2010m5,United Kingdom,47.305161,49.418541,3,28.04076,23.105141,3,United Kingdom,200,GBR
1998m3,United Kingdom,47.086189,47.05574,4,38.59024,38.518318,4,United Kingdom,200,GBR
1949m11,United Kingdom,37.278912,37.325329,0,,,,United Kingdom,200,GBR
1971m9,United Kingdom,32.507259,32.36084,4,53.042309,53.05917,4,United Kingdom,200,GBR
1970m6,United Kingdom,39.875408,39.796848,4,48.14621,48.05965,4,United Kingdom,200,GBR
1983m3,United Kingdom,39.922569,40.048302,5,49.12138,49.03944,5,United Kingdom,200,GBR
1969m4,United Kingdom,27.92112,27.793831,4,59.840179,60.152748,4,United Kingdom,200,GBR
2012m5,United Kingdom,29.370319,29.12314,6,61.435848,61.461109,6,United Kingdom,200,GBR
1965m11,United Kingdom,47.624741,47.926949,4,36.71981,36.32642,4,United Kingdom,200,GBR
1990m12,United Kingdom,34.515518,35.478371,5,47.62822,45.322498,5,United Kingdom,200,GBR
1980m11,United Kingdom,30.993549,30.785139,5,58.428219,58.630131,5,United Kingdom,200,GBR
1944m2,United Kingdom,58.25349,58.128899,0,,,,United Kingdom,200,GBR
1987m8,United Kingdom,41.388409,41.32584,5,47.11227,47.339001,5,United Kingdom,200,GBR
1987m6,United Kingdom,39.974209,40.214668,3,49.105652,48.94836,3,United Kingdom,200,GBR
1973m12,United Kingdom,33.528309,33.588589,4,54.028671,54.25156,4,United Kingdom,200,GBR
1988m3,United Kingdom,38.222889,38.235031,5,50.635288,50.702518,5,United Kingdom,200,GBR
1964m9,United Kingdom,40.591511,40.539848,3,42.30896,42.348221,3,United Kingdom,200,GBR
1957m10,United Kingdom,37.280842,36.971008,2,,,,United Kingdom,200,GBR
1949m5,United Kingdom,37.056881,36.93763,2,,,,United Kingdom,200,GBR
1951m3,United Kingdom,36.354519,36.44593,0,,,,United Kingdom,200,GBR
1996m9,United Kingdom,26.146561,26.36932,4,63.49276,63.144981,4,United Kingdom,200,GBR
2009m2,United Kingdom,26.78356,26.244011,4,63.206749,63.726181,3,United Kingdom,200,GBR
1962m6,United Kingdom,38.54258,38.673569,0,46.955978,46.798328,0,United Kingdom,200,GBR
1956m8,United Kingdom,39.352638,39.464649,0,,,,United Kingdom,200,GBR
1945m2,United Kingdom,56.73225,56.893501,1,,,,United Kingdom,200,GBR
1996m12,United Kingdom,26.62851,26.44092,4,63.170509,63.41386,4,United Kingdom,200,GBR
2005m8,United Kingdom,36.713589,36.492699,3,51.296612,51.604252,3,United Kingdom,200,GBR
1954m12,United Kingdom,44.203678,44.223991,0,,,,United Kingdom,200,GBR
1998m10,United Kingdom,48.302109,48.38842,4,38.991562,39.112171,4,United Kingdom,200,GBR
1994m2,United Kingdom,22.41708,22.512051,4,68.762543,68.514282,4,United Kingdom,200,GBR
2019m1,United Kingdom,21.87579,21.124041,2,65.565338,65.921944,1,United Kingdom,200,GBR
2010m10,United Kingdom,44.305882,44.044361,5,42.338531,42.60714,5,United Kingdom,200,GBR
2016m10,United Kingdom,39.707401,39.626259,4,41.335091,41.577461,4,United Kingdom,200,GBR
1996m5,United Kingdom,23.79645,23.9142,4,66.491463,66.274696,4,United Kingdom,200,GBR
1976m12,United Kingdom,27.97929,28.112391,3,57.089569,56.865108,3,United Kingdom,200,GBR
1964m7,United Kingdom,40.876591,40.183231,3,43.081169,43.871189,3,United Kingdom,200,GBR
1947m7,United Kingdom,39.665989,39.73196,2,,,,United Kingdom,200,GBR
2012m11,United Kingdom,33.533901,34.027512,6,58.176079,57.50639,6,United Kingdom,200,GBR
2001m6,United Kingdom,44.622219,45.165642,2,42.423229,41.80801,2,United Kingdom,200,GBR
1983m4,United Kingdom,39.523369,39.490009,5,48.746578,48.693459,5,United Kingdom,200,GBR
1961m4,United Kingdom,46.451649,46.474972,2,36.324631,36.23325,2,United Kingdom,200,GBR
1972m4,United Kingdom,37.63892,38.180161,4,48.609329,47.802361,4,United Kingdom,200,GBR
1979m8,United Kingdom,36.823528,37.149639,5,47.51762,47.403969,5,United Kingdom,200,GBR
1980m5,United Kingdom,36.866791,37.110531,3,52.243431,51.982552,3,United Kingdom,200,GBR
2002m9,United Kingdom,37.696529,37.825588,2,50.226212,50.054119,2,United Kingdom,200,GBR
2011m1,United Kingdom,35.494438,34.816959,5,53.625881,54.279579,5,United Kingdom,200,GBR
1988m11,United Kingdom,38.40379,38.286091,4,50.930408,51.287998,4,United Kingdom,200,GBR
